types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://schema.org/Person,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/WikicatMusicHallPerformers,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/WikicatPeopleFromLondon,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/WikicatFrenchSingers,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishMaleMusicalTheatreActors,http://dbpedia.org/resource/Harry_Fragson,Harry Fragson,11,127,1.0,0.0,3,4,== Career ==
