types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/WikicatBritishDJs,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Broadcaster109875786,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/DiskJockey110017272,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Brandon_Block,Brandon Block,29,301,1.0,0.0,4,7,== Biography == | === After Spandau Ballet ===
