types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/WikicatBiographicalMuseumsInSingapore,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/WikicatNationalMonumentsOfSingapore,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Memorial103743902,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Museum103800563,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/NationalMonument103810952,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sun_Yat_Sen_Nanyang_Memorial_Hall,Sun Yat Sen Nanyang Memorial Hall,26,257,1.0,0.0,1,87,== Cultural references == | === Memorials and structures in Asia ===
