types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatAlumniOfTheRoyalCollegeOfMusic,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatBritishComposers,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatConductors,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Conductor109952539,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatEnglishComposers,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatEnglishMusicians,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatEnglishPeopleOfBelgianDescent,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatPeopleFromCamden(LondonBorough),http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
http://dbpedia.org/class/yago/WikicatPeopleFromCamdenTown,http://dbpedia.org/resource/Eugene_Aynsley_Goossens,Eugene Aynsley Goossens,222,15,1.0,0.0,0,63,== External links ==
