types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/WikicatBuddhistTemples,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Temple104407435,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Butsudan,Butsudan,68,269,1.0,0.0,1,23,== Legacy ==
