types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/WikicatMasterpiecesOfTheOralAndIntangibleHeritageOfHumanity,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Masterpiece103727605,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/French_cuisine,French cooking,1466,82,1.0,0.0,0,22,== Literature ==
