types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBritishDames,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Dame109989045,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Girl110129825,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Dame,damehood,667,32,0.9792780406220236,0.0211604444480821,2,1,
