types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/WikicatMusicalNotes,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/WikicatMusicalScales,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/MusicalNotation106814870,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Notation106808493,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Note106865345,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
http://dbpedia.org/class/yago/Scale106856568,http://dbpedia.org/resource/C_(musical_note),Middle C,539,0,0.9980705665821706,0.0019325912183055,0,32,== Bibliography == | === Fiction ===
