types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/WikicatPrinters,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Printer110475297,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Duotone,duotone,35,121,0.9999999845719856,0.0,3,11,== Career == | === Warren and The Studio ===
