types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAssociationFootballPositions,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/ontology/RugbyPlayer,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
http://dbpedia.org/class/yago/Position108621598,http://dbpedia.org/resource/Midfielder,left band,67119,20,0.9999999997056648,0.0,0,4,== Life and career ==
