types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/WikicatIrishPeople,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/WikicatMythologicalHeroes,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Hero110325013,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Wikicat1st-centuryIrishPeople,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
http://dbpedia.org/class/yago/Wikicat1st-centuryPeople,http://dbpedia.org/resource/Cú_Chulainn,Cuchulainn,772,107,0.9985310538920252,0.0,2,19,== Legacy ==
