types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Being113954253,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
http://dbpedia.org/class/yago/WikicatEuropeanLegendaryCreatures,http://dbpedia.org/resource/Bogle,Bogle,34,45,0.9999979519041003,1.0896744670798544e-06,3,2,== Early years ==
