types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/WikicatMiddle-earthCharacters,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/WikicatMiddle-earthRaces,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/Race107472657,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Ent,Ents,234,3,0.99999981916527,0.0,4,2,== Early life ==
