types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/WikicatBooksByType,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Paperback,mass-market paperback,2004,197,1.0,0.0,0,27,== Beginning of literary career ==
