types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/Government108050678,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/WikicatProvisionalGovernments,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/Polity108050385,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Provisional_government,Provisional government,713,76,0.5466504956990647,0.8293224059390503,3,56,== Path to Northern Expedition == | === Guangzhou militarist government ===
