types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/WikicatCarsOfAustralia,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Car102958343,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/MotorVehicle103791235,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Self-propelledVehicle104170037,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
http://dbpedia.org/class/yago/WikicatFordVehicles,http://dbpedia.org/resource/Ford_Futura,futura,21,33,0.9999959297505384,1.837863520242768e-06,1,50,== External links ==
