types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/WikicatChineseCharacters,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/WikicatChineseScripts,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Orthography106351202,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
http://dbpedia.org/class/yago/Script107009946,http://dbpedia.org/resource/Simplified_Chinese_characters,Simplified Chinese,3250,46,0.8834003217627462,0.1319896261805666,0,0,
