types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/WikicatAmericanJournalists,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/WikicatColumbiaUniversityAlumni,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/George_Sokolsky,George Sokolsky,25,136,1.0,0.0,4,2,== Biography ==
