types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCommemorativeMonths,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/WikicatMayObservances,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/CalendarMonth115209413,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Look100877127,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Observation100879759,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/Sensing100876874,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/SensoryActivity100876737,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
http://dbpedia.org/class/yago/WikicatObservancesInTheUnitedStates,http://dbpedia.org/resource/Mental_Health_Awareness_Month,Mental Health Awareness month,17,20,1.0,0.0,6,2,== Career ==
