types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/WikicatPolyphonicSynthesizers,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/WikicatVirtualAnalogSynthesizers,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/WikicatRolandSynthesizers,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Synthesist110687231,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
http://dbpedia.org/class/yago/WikicatSynthesizers,http://dbpedia.org/resource/Roland_JP-8000,JP-8000,55,188,1.0,0.0,1,47,== Production and recording methods ==
