types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/WikicatMusicRadioPrograms,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/WikicatRecordCharts,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/WikicatRecordChartsByCountry,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Chart106999802,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/Plan105898568,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
http://dbpedia.org/class/yago/VisualCommunication106873252,http://dbpedia.org/resource/Swiss_Hitparade,Singles Top 75,720,45,0.999999999999929,0.0,2,10,== Biography == | === Music ===
