types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/WikicatAlbums,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/StorageMedium106263762,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
http://dbpedia.org/class/yago/WikicatOpticalComputerStorageMedia,http://dbpedia.org/resource/Optical_disc_packaging,packaging,1191,109,0.8860554162223856,0.1283908044553961,1,9,== Solo career ==
