types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/WikicatMusicRetailersOfTheUnitedStates,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Distributor110018861,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Merchant110309896,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Retailer110525436,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Supplier110677271,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Other_Music,Other Music Recording Co.,23,59,1.0,0.0,0,6,== Career ==
