types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/WikicatMarchingBands,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/Band108249038,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/MarchingBand108249207,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/School_band,modern band,370,151,0.9999999999736248,0.0,6,14,== Career == | === 2015–2016: Tearless Sky ===
