types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/WikicatCollectionsOfTreaties,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/Report107218470,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
http://dbpedia.org/class/yago/WikicatGovernmentReports,http://dbpedia.org/resource/Command_paper,CM.,195,25,0.9999999996200444,0.0,3,9,== Career == | === 2000–2003: Growing success ===
