types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatPeopleFromTaganrog,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatPeopleFromYekaterinoslavGovernorate,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Winner110782791,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/WikicatRussianComposers,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Gambler110118844,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
http://dbpedia.org/class/yago/PrizeWinner109627807,http://dbpedia.org/resource/Vasily_Zolotarev,Vasily Zolotarev,14,134,1.0,0.0,1,2,== Biography ==
