types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatMusicVenuesInManhattan,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatMusicVenuesInNewYorkCity,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatNationalHistoricLandmarksInNewYork,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatNationalHistoricLandmarksInNewYorkCity,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Landmark108624891,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Position108621598,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Scene108645963,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/Venue108677628,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatEntertainmentVenuesInTheUnitedStates,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
http://dbpedia.org/class/yago/WikicatEventVenuesEstablishedIn1921,http://dbpedia.org/resource/The_Town_Hall_(New_York_City),Town Hall Theater,548,109,0.9999999994774668,0.0,3,9,== Career == | === 2006–2008: Begin to Hope ===
