types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/Assembly108163792,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/Court108329453,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
http://dbpedia.org/class/yago/SupremeCourt108336188,http://dbpedia.org/resource/Bombay_High_Court,Mumbai High Court,873,9,1.0,0.0,32,23,== Later life and last days ==
