types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/WikicatCharactersOfRussianFolklore,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/WikicatStockCharacters,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
http://dbpedia.org/class/yago/WikicatTheatreCharacters,http://dbpedia.org/resource/Petrushka,Petroushka,197,123,0.9999740619554108,2.593871739838416e-05,0,20,== Other activities ==
