types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatJapaneseComposers,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatJapaneseComposersOfClassicalMusic,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatJapanesePeople,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatConductors,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/WikicatMusicEducators,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Conductor109952539,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Wikicat20th-centuryClassicalComposers,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Makoto_Shinohara,Makoto Shinohara,16,209,1.0,0.0,0,4,== Career ==
