types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Benefactor109608709,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/GoodPerson110138767,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Humanitarian110191613,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
http://dbpedia.org/class/yago/WikicatSoilImprovers,http://dbpedia.org/resource/Biochar,biochar,257,442,1.0,0.0,12,18,== Career == | === Later work ===
