types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/WikicatDisneyDocumentaryFilms,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Documentary106616806,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/People_&_Places,People & Places,7,0,0.9245283012367418,0.0816326530612233,0,51,== Discography == | ==== Albums ====
