types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://schema.org/Person,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/InteriorDesigner110210648,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/WikicatIndianProductionDesigners,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/T._Muthuraj,Muthuraj,21,0,0.9999999991762536,0.0,3,5,== Early life ==
