types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/Field108569998,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/WikicatOilFields,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://dbpedia.org/class/yago/WikicatOilFieldsOfKuwait,http://dbpedia.org/resource/Burgan_field,Burgan,23,96,0.598632799378254,0.6704720275898768,6,3,== Biography ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Teatro_ZinZanni,Teatro ZinZanni,54,107,1.0,0.0,2,6,== Biography ==
http://dbpedia.org/ontology/Venue,http://dbpedia.org/resource/Teatro_ZinZanni,Teatro ZinZanni,54,107,1.0,0.0,2,6,== Biography ==
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Teatro_ZinZanni,Teatro ZinZanni,54,107,1.0,0.0,2,6,== Biography ==
