types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatISOStandards,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/WikicatDINStandards,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Description106724763,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Specification106725067,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
http://dbpedia.org/class/yago/WikicatTechnicalSpecifications,http://dbpedia.org/resource/ISO_216,A4 paper,468,293,1.0,0.0,0,17,== Fan and community activity ==
