types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/WikicatCrimes,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Perfect_crime,perfect crime,61,240,0.9999999999999432,0.0,0,13,"== Career == | === Early films and breakthrough, 1967–1968 ==="
