types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
"http://dbpedia.org/class/yago/WikicatPeopleFromMiddleton,GreaterManchester",http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/ontology/Star,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Marie_Slater,Marie Slater,2,22,0.999999999539881,0.0,0,7,== Personal life ==
