types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/WikicatAugustEvents,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
"http://dbpedia.org/class/yago/WikicatVisitorAttractionsInLehighCounty,Pennsylvania",http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
"http://dbpedia.org/class/yago/WikicatVisitorAttractionsInNorthamptonCounty,Pennsylvania",http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://umbel.org/umbel/rc/Event,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://umbel.org/umbel/rc/Festival,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/WikicatMusicFestivalsInTheUnitedStates,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1984,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
http://dbpedia.org/class/yago/WikicatFestivalsInPennsylvania,http://dbpedia.org/resource/Musikfest,MusikFest,62,123,1.0,0.0,5,8,== Solo career ==
