types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Keyboard103614007,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/KeyboardInstrument103614532,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/ComputerKeyboard103085013,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/DataInputDevice103163973,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/ElectronicInstrument103279153,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/WikicatComputerKeyboards,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/WikicatKeyboardInstruments,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
http://dbpedia.org/class/yago/WikicatElectronicMusicalInstruments,http://dbpedia.org/resource/Electronic_keyboard,Electronic Keyboard,2097,66,1.0,0.0,3,8,"== Career == | === 2018–2019: Three Two One, Time Boils the Rain and ME ==="
