types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatAgglutinativeLanguages,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatAustronesianLanguages,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://umbel.org/umbel/rc/Language,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfBrunei,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfIndonesia,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfMalaysia,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfSingapore,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfSriLanka,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfThailand,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatLanguagesOfThePhilippines,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatMalayLanguagesInSingapore,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatMalayicLanguages,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatMalayo-PolynesianLanguages,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Malay_language,Malaysian,10174,50,0.4323612506664645,0.7387174427698794,3,2,== Career ==
