types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/WikicatDefunctLawEnforcementAgenciesOfIreland,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/WikicatDefunctPoliceForcesOfTheUnitedKingdom,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Force108208016,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/LawEnforcementAgency108348815,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/MilitaryUnit108198398,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Police108209687,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1822,http://dbpedia.org/resource/Royal_Irish_Constabulary,Peelers,882,134,0.8681049596054963,0.1519341634962405,0,3,== Biography ==
